variable_name	description
URXANBT_UCOT_H	Anabasine, urine (ng/mL);2013-2014
URXCOXT_UCOT_H	Cotinine-n-oxide, urine (ng/mL);2013-2014
URXNICT_UCOT_H	Nicotine, urine (ng/mL);2013-2014
URXNNCT_UCOT_H	Nornicotine, urine (ng/mL);2013-2014
URXNOXT_UCOT_H	Nicotine-1 N-oxide, urine (ng/mL);2013-2014
URXCOTT_UCOT_I	Total Cotinine, urine (ng/mL);2015-2016
URXHCTT_UCOT_I	Total Hydroxycotinine, urine (ng/mL);2015-2016
URXANBT_UCOT_I	Anabasine, urine (ng/mL);2015-2016
URXCOXT_UCOT_I	Cotinine-n-oxide, urine (ng/mL);2015-2016
URXHPBT_UCOT_I	1-(3-Pyridyl)-1-butanol-4-carboxylic acid, urine (ng/mL);2015-2016
URXNICT_UCOT_I	Nicotine, urine (ng/mL);2015-2016
URXNNCT_UCOT_I	Nornicotine, urine (ng/mL);2015-2016
URXNOXT_UCOT_I	Nicotine-1 N-oxide, urine (ng/mL);2015-2016
URXCOTT_UCOTS_H	Total Cotinine, urine (ng/mL);2013-2014
URXHCTT_UCOTS_H	Total Hydroxycotinine, urine (ng/mL);2013-2014
URXANBT_UCOTS_H	Anabasine, urine (ng/mL);2013-2014
URXCOXT_UCOTS_H	Cotinine-n-oxide, urine (ng/mL);2013-2014
URXNICT_UCOTS_H	Nicotine, urine (ng/mL);2013-2014
URXNNCT_UCOTS_H	Nornicotine, urine (ng/mL);2013-2014
URXNOXT_UCOTS_H	Nicotine-1 N-oxide, urine (ng/mL);2013-2014
URXCOTT_UCOTS_I	Total Cotinine, urine (ng/mL);2015-2016
URXHCTT_UCOTS_I	Total Hydroxycotinine, urine (ng/mL);2015-2016
URXANBT_UCOTS_I	Anabasine, urine (ng/mL);2015-2016
URXCOXT_UCOTS_I	Cotinine-n-oxide, urine (ng/mL);2015-2016
URXHPBT_UCOTS_I	1-(3-Pyridyl)-1-butanol-4-carboxylic acid, urine (ng/mL);2015-2016
URXNICT_UCOTS_I	Nicotine, urine (ng/mL);2015-2016
URXNNCT_UCOTS_I	Nornicotine, urine (ng/mL);2015-2016
URXNOXT_UCOTS_I	Nicotine-1 N-oxide, urine (ng/mL);2015-2016
SSCYPC_SSCYST_A	Cystatin C (mg/L);1999-2000
SSCYPC_SSCYST_B	Cystatin C (mg/L);2001-2002
URXDEE_DEET_E	DEET (ug/L);2007-2008
URXDEA_DEET_E	DEET acid (ug/L);2007-2008
URXDHD_DEET_E	Desethyl hydroxy DEET (ug/L);2007-2008
URXUCR_DEET_E	Creatinine, urine (mg/dL);2007-2008
URXDEE_DEET_F	DEET (ug/L);2009-2010
URXDEA_DEET_F	DEET acid (ug/L);2009-2010
URXDHD_DEET_F	Desethyl hydroxy DEET (ug/L);2009-2010
URXUCR_DEET_F	Creatinine, urine (mg/dL);2009-2010
URXUCR_DEET_G	Creatinine, urine (mg/dL);2011-2012
URXDEE_DEET_G	N, N-Diethy-meta-toluamide (DEET) (ug/L);2011-2012
URXDEA_DEET_G	3-(Ethlycarbamoyl) benzoic acid (ug/L);2011-2012
URXDHD_DEET_G	N, N-Diethyl-3-(hydroxymethyl) benzamide (DHMB) (ug/L);2011-2012
URXUCR_DEET_H	Creatinine, urine (mg/dL);2013-2014
URXDEE_DEET_H	N, N-Diethy-meta-toluamide (DEET) (ug/L);2013-2014
URXDEA_DEET_H	3-(Ethlycarbamoyl) benzoic acid (ug/L);2013-2014
URXDHD_DEET_H	N, N-Diethyl-3-(hydroxymethyl) benzamide (DHMB) (ug/L);2013-2014
URXDEA_DEET_I	3-(Ethlycarbamoyl) benzoic acid (ng/mL);2015-2016
SSEMEA_SSDEET_I	3-(Ethylcarbamoyl)benzoic acid (ug/L);2015-2016
LBX028_LAB28POC	PCB28 (ng/g);1999-2000
LBX052_LAB28POC	PCB52 (ng/g);1999-2000
LBX066_LAB28POC	PCB66 (ng/g);1999-2000
LBX074_LAB28POC	PCB74 (ng/g);1999-2000
LBX099_LAB28POC	PCB99 (ng/g);1999-2000
LBX101_LAB28POC	PCB101 (ng/g);1999-2000
LBX105_LAB28POC	PCB105 (ng/g);1999-2000
LBX118_LAB28POC	PCB118 (ng/g);1999-2000
LBX128_LAB28POC	PCB128 (ng/g);1999-2000
LBX138_LAB28POC	PCB138 (ng/g);1999-2000
LBX146_LAB28POC	PCB146 (ng/g);1999-2000
LBX153_LAB28POC	PCB153 (ng/g);1999-2000
LBX156_LAB28POC	PCB156 (ng/g);1999-2000
LBX157_LAB28POC	PCB157 (ng/g);1999-2000
LBX167_LAB28POC	PCB167 (ng/g);1999-2000
LBX170_LAB28POC	PCB170 (ng/g);1999-2000
LBX172_LAB28POC	PCB172 (ng/g);1999-2000
LBX177_LAB28POC	PCB177 (ng/g);1999-2000
LBX178_LAB28POC	PCB178 (ng/g);1999-2000
LBX180_LAB28POC	PCB180 (ng/g);1999-2000
LBX183_LAB28POC	PCB183 (ng/g);1999-2000
LBX187_LAB28POC	PCB187 (ng/g);1999-2000
LBXD01_LAB28POC	1,2,3,7,8-Pentachlorodibenzo-p-dioxin (pncdd) (fg/g);1999-2000
LBXD03_LAB28POC	1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin (hxcdd)(fg/g);1999-2000
LBXD04_LAB28POC	1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin (hxcdd) (fg/g);1999-2000
LBXD05_LAB28POC	1,2,3,4,6,7,8-Heptachlororodibenzo-p-dioxin (hpcdd) (fg/g);1999-2000
LBXD07_LAB28POC	1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g);1999-2000
LBXF01_LAB28POC	2,3,7,8,-Tetrachlorodibenzofuran (tcdf) (fg/g);1999-2000
LBXF02_LAB28POC	1,2,3,7,8-Pentachlorodibenzofuran (pncdf) (fg/g);1999-2000
LBXF03_LAB28POC	2,3,4,7,8-Pentachlorodibenzofuran (pncdf) (fg/g);1999-2000
LBXF04_LAB28POC	1,2,3,4,7,8-Hexachlorodibenzofuran (hxcdf) (fg/g);1999-2000
LBXF05_LAB28POC	1,2,3,6,7,8-Hexachlorodibenzofuran (hxcdf) (fg/g);1999-2000
LBXF06_LAB28POC	1,2,3,7,8,9-Hexachlorodibenzofuran (hxcdf) (fg/g);1999-2000
LBXF07_LAB28POC	2,3,4,6,7,8,-Hexchlorodibenzofuran (hxcdf) (fg/g);1999-2000
LBXF08_LAB28POC	1,2,3,4,6,7,8-Heptachlorodibenzofuran (hpcdf) (fg/g);1999-2000
LBXF10_LAB28POC	1,2,3,4,6,7,8,9-Octachlorodibenzofuran (ocdf) (fg/g);1999-2000
LBXPCB_LAB28POC	3,3',4,4',5-Pentachlorobiphenyl (pncb) (fg/g);1999-2000
LBXTC2_LAB28POC	3,4,4',5-Tetrachlorobiphenyl (tcb) (fg/g);1999-2000
LBXTCD_LAB28POC	2,3,7,8-Tetrachlorodienzo-p-dioxin (tcdd) (fg/g);1999-2000
LBDBHC_LAB28POC	Beta-hexachloro-cyclohexane (ng/g);1999-2000
LBXGHC_LAB28POC	Gamma-hexachloro-cyclohexane (ng/g);1999-2000
LBXHCB_LAB28POC	Hexachlorobenzene (ng/g);1999-2000
LBXHPE_LAB28POC	Heptachlor Epoxide (ng/g);1999-2000
LBXHXC_LAB28POC	3,3',4,4',5,5'-hexachlorobiphenyl (hxcb) (fg/g);1999-2000
LBXODT_LAB28POC	o,p'-DDT (ng/g);1999-2000
LBXOXY_LAB28POC	Oxychlordane (ng/g);1999-2000
LBXPDE_LAB28POC	p,p'-DDE (ng/g);1999-2000
LBXPDT_LAB28POC	p,p'-DDT (ng/g);1999-2000
LBXTNA_LAB28POC	Trans-nonachlor (ng/g);1999-2000
LBX028_L28DFP_C	PCB28 (ng/g);2003-2004
LBX066_L28DFP_C	PCB66 (ng/g);2003-2004
LBX074_L28DFP_C	PCB74 (ng/g);2003-2004
LBX105_L28DFP_C	PCB105 (ng/g);2003-2004
LBX118_L28DFP_C	PCB118 (ng/g);2003-2004
LBX156_L28DFP_C	PCB156 (ng/g);2003-2004
LBX157_L28DFP_C	PCB157 (ng/g);2003-2004
LBX167_L28DFP_C	PCB167 (ng/g);2003-2004
LBX189_L28DFP_C	PCB189 (ng/g);2003-2004
LBXD01_L28DFP_C	1,2,3,7,8-Pentachlorodibenzo-p-dioxin (pncdd) (fg/g);2003-2004
LBXD02_L28DFP_C	1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin (hxcdd)(fg/g);2003-2004
LBXD03_L28DFP_C	1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin (hxcdd)(fg/g);2003-2004
LBXD04_L28DFP_C	1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin (hxcdd) (fg/g);2003-2004
LBXD05_L28DFP_C	1,2,3,4,6,7,8-Heptachlororodibenzo-p-dioxin (hpcdd) (fg/g);2003-2004
LBXD07_L28DFP_C	1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g);2003-2004
LBXF01_L28DFP_C	2,3,7,8,-Tetrachlorodibenzofuran (tcdf) (fg/g);2003-2004
LBXF02_L28DFP_C	1,2,3,7,8-Pentachlorodibenzofuran (pncdf) (fg/g);2003-2004
LBXF03_L28DFP_C	2,3,4,7,8-Pentachlorodibenzofuran (pncdf) (fg/g);2003-2004
LBXF04_L28DFP_C	1,2,3,4,7,8-Hexachlorodibenzofuran (hxcdf) (fg/g);2003-2004
LBXF05_L28DFP_C	1,2,3,6,7,8-Hexachlorodibenzofuran (hxcdf) (fg/g);2003-2004
LBXF06_L28DFP_C	1,2,3,7,8,9-Hexachlorodibenzofuran (hxcdf) (fg/g);2003-2004
LBXF07_L28DFP_C	2,3,4,6,7,8-Hexchlorodibenzofuran (hxcdf) (fg/g);2003-2004
LBXF08_L28DFP_C	1,2,3,4,6,7,8-Heptachlorodibenzofuran (hpcdf) (fg/g);2003-2004
LBXF09_L28DFP_C	1,2,3,4,7,8,9-Heptachlorodibenzofuran (Hpcdf) (fg/g);2003-2004
LBXF10_L28DFP_C	1,2,3,4,6,7,8,9-Octachlorodibenzofuran (ocdf) (fg/g);2003-2004
LBXPCB_L28DFP_C	3,3',4,4',5-Pentachlorobiphenyl (pncb) (fg/g);2003-2004
LBXTC2_L28DFP_C	3,4,4',5-Tetrachlorobiphenyl (tcb) (fg/g);2003-2004
LBXHXC_L28DFP_C	3,3',4,4',5,5'-hexachlorobiphenyl (hxcb) (fg/g);2003-2004
LBXTCD_L28DFP_C	2,3,7,8-Tetrachlorodienzo-p-dioxin (tcdd) (fg/g);2003-2004
LBX052_L28POC_B	PCB52 (ng/g);2001-2002
LBX066_L28POC_B	PCB66 (ng/g);2001-2002
LBX074_L28POC_B	PCB74 (ng/g);2001-2002
LBX087_L28POC_B	PCB87 (ng/g);2001-2002
LBX099_L28POC_B	PCB99 (ng/g);2001-2002
LBX101_L28POC_B	PCB101 (ng/g);2001-2002
LBX105_L28POC_B	PCB105 (ng/g);2001-2002
LBX110_L28POC_B	PCB110 (ng/g);2001-2002
LBX118_L28POC_B	PCB118 (ng/g);2001-2002
LBX128_L28POC_B	PCB128 (ng/g);2001-2002
LBX138_L28POC_B	PCB138 (ng/g);2001-2002
LBX146_L28POC_B	PCB146 (ng/g);2001-2002
LBX149_L28POC_B	PCB149 (ng/g);2001-2002
LBX151_L28POC_B	PCB151 (ng/g);2001-2002
LBX153_L28POC_B	PCB153 (ng/g);2001-2002
LBX156_L28POC_B	PCB156 (ng/g);2001-2002
LBX157_L28POC_B	PCB157 (ng/g);2001-2002
LBX167_L28POC_B	PCB167 (ng/g);2001-2002
LBX170_L28POC_B	PCB170 (ng/g);2001-2002
LBX172_L28POC_B	PCB172 (ng/g);2001-2002
LBX177_L28POC_B	PCB177 (ng/g);2001-2002
LBX178_L28POC_B	PCB178 (ng/g);2001-2002
LBX180_L28POC_B	PCB180 (ng/g);2001-2002
LBX183_L28POC_B	PCB183 (ng/g);2001-2002
LBX187_L28POC_B	PCB187 (ng/g);2001-2002
LBX189_L28POC_B	PCB189 (ng/g);2001-2002
LBX194_L28POC_B	PCB194 (ng/g);2001-2002
LBX195_L28POC_B	PCB195 (ng/g);2001-2002
LBX196_L28POC_B	PCB196 (ng/g);2001-2002
LBD199_L28POC_B	PCB199 (ng/g);2001-2002
LBX206_L28POC_B	PCB206 (ng/g);2001-2002
LBXD01_L28POC_B	1,2,3,7,8-Pentachlorodibenzo-p-dioxin (pncdd) (fg/g);2001-2002
LBXD02_L28POC_B	1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin (hxcdd)(fg/g);2001-2002
LBXD03_L28POC_B	1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin (hxcdd)(fg/g);2001-2002
LBXD04_L28POC_B	1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin (hxcdd) (fg/g);2001-2002
LBXD05_L28POC_B	1,2,3,4,6,7,8-Heptachlororodibenzo-p-dioxin (hpcdd) (fg/g);2001-2002
LBXD07_L28POC_B	1,2,3,4,6,7,8,9-Octachlorodibenzo-p-dioxin (ocdd) (fg/g);2001-2002
LBXF01_L28POC_B	2,3,7,8,-Tetrachlorodibenzofuran (tcdf) (fg/g);2001-2002
LBXF02_L28POC_B	1,2,3,7,8-Pentachlorodibenzofuran (pncdf) (fg/g);2001-2002
LBXF03_L28POC_B	2,3,4,7,8-Pentachlorodibenzofuran (pncdf) (fg/g);2001-2002
LBXF04_L28POC_B	1,2,3,4,7,8-Hexachlorodibenzofuran (hxcdf) (fg/g);2001-2002
LBXF05_L28POC_B	1,2,3,6,7,8-Hexachlorodibenzofuran (hxcdf) (fg/g);2001-2002
LBXF06_L28POC_B	1,2,3,7,8,9-Hexachlorodibenzofuran (hxcdf) (fg/g);2001-2002
LBXF07_L28POC_B	2,3,4,6,7,8,-Hexchlorodibenzofuran (hxcdf) (fg/g);2001-2002
LBXF08_L28POC_B	1,2,3,4,6,7,8-Heptachlorodibenzofuran (hpcdf) (fg/g);2001-2002
LBXF09_L28POC_B	1,2,3,4,7,8,9-Heptachlorodibenzofuran (Hpcdf) (fg/g);2001-2002
LBXF10_L28POC_B	1,2,3,4,6,7,8,9-Octachlorodibenzofuran (ocdf) (fg/g);2001-2002
LBXPCB_L28POC_B	3,3',4,4',5-Pentachlorobiphenyl (pncb) (fg/g);2001-2002
LBXTC2_L28POC_B	3,4,4',5-Tetrachlorobiphenyl (tcb) (fg/g);2001-2002
LBXTCD_L28POC_B	2,3,7,8-Tetrachlorodienzo-p-dioxin (tcdd) (fg/g);2001-2002
LBXGHC_L28POC_B	Gamma-hexachloro-cyclohexane (ng/g);2001-2002
LBXHCB_L28POC_B	Hexachlorobenzene (ng/g);2001-2002
LBXHPE_L28POC_B	Heptachlor Epoxide (ng/g);2001-2002
LBXHXC_L28POC_B	3,3',4,4',5,5'-hexachlorobiphenyl (hxcb) (fg/g);2001-2002
LBXODT_L28POC_B	o,p'-DDT (ng/g);2001-2002
LBXOXY_L28POC_B	Oxychlordane (ng/g);2001-2002
LBXPDE_L28POC_B	p,p'-DDE (ng/g);2001-2002
LBXPDT_L28POC_B	p,p'-DDT (ng/g);2001-2002
LBXTNA_L28POC_B	Trans-nonachlor (ng/g);2001-2002
LBXDIE_L28POC_B	Dieldrin (ng/g);2001-2002
LBXALD_L28POC_B	Aldrin;2001-2002
LBXEND_L28POC_B	Endrin;2001-2002
URXUCR_EPH_E	Urinary creatinine;2007-2008
URXBPH_EPH_E	Urinary Bisphenol A;2007-2008
URXBUP_EPH_E	Butyl paraben (ng/ml);2007-2008
URXEPB_EPH_E	Ethyl paraben (ng/ml);2007-2008
URXMPB_EPH_E	Methyl paraben (ng/ml);2007-2008
URXPPB_EPH_E	Propyl paraben (ng/ml);2007-2008
URXUCR_L24EPH_C	Urinary creatinine;2003-2004
URXBPH_L24EPH_C	Urinary Bisphenol A;2003-2004
URXUCR_EPH_F	Urinary creatinine;2009-2010
URXBPH_EPH_F	Urinary Bisphenol A (ng/mL);2009-2010
URXBUP_EPH_F	Butyl paraben (ng/ml);2009-2010
URXEPB_EPH_F	Ethyl paraben (ng/ml);2009-2010
URXMPB_EPH_F	Methyl paraben (ng/ml);2009-2010
URXPPB_EPH_F	Propyl paraben (ng/ml);2009-2010
URXUCR_EPH_D	Urinary creatinine (mg/dL);2005-2006
URXBPH_EPH_D	Urinary Bisphenol A;2005-2006
URXBUP_EPH_D	Butyl paraben (ng/ml);2005-2006
URXEPB_EPH_D	Ethyl paraben (ng/ml);2005-2006
URXMPB_EPH_D	Methyl paraben (ng/ml);2005-2006
URXPPB_EPH_D	Propyl paraben (ng/ml);2005-2006
URXUCR_EPH_G	Urinary creatinine;2011-2012
URXBPH_EPH_G	Urinary Bisphenol A (ng/mL);2011-2012
URXBUP_EPH_G	Butyl paraben (ng/ml);2011-2012
URXEPB_EPH_G	Ethyl paraben (ng/ml);2011-2012
URXMPB_EPH_G	Methyl paraben (ng/ml);2011-2012
URXPPB_EPH_G	Propyl paraben (ng/ml);2011-2012
LBXEPP_EPP_D	Protoporphyrin(ug/dL RBC);2005-2006
LBXEPP_L39_B	Protoporphyrin(ug/dL RBC);2001-2002
LBXEPP_L39EPP_C	Protoporphyrin(ug/dL RBC);2003-2004
LBXSEL_L39EPP_C	Selenium(ug/L);2003-2004
LBXEOA_ETHOX_H	Ethylene Oxide (pmol/g Hb);2013-2014
LBXEOA_ETHOX_I	Ethylene Oxide (pmol/g Hb);2015-2016
LBXEOA_ETHOXS_H	Ethylene Oxide (pmol/g Hb);2013-2014
SSMR1_N_SSFA_C	Myristic acid (micromol/L);2003-2004
SSGLA_N_SSFA_C	gamma-Linolenic acid (micromol/L);2003-2004
SSEN1_N_SSFA_C	Eicosenoic acid (micromol/L);2003-2004
SSED1_N_SSFA_C	Eicosadienoic acid (micromol/L);2003-2004
SSARA_N_SSFA_C	Arachidonic acid (micromol/L);2003-2004
SSEPA_N_SSFA_C	Eicosapentaenoic acid (micromol/L);2003-2004
SSDA1_N_SSFA_C	Docosanoic acid (micromol/L);2003-2004
SSDE1_N_SSFA_C	Docosenoic acid (micromol/L);2003-2004
SSDTA_N_SSFA_C	Docosatetraenoic acid (micromol/L);2003-2004
SSDP6_N_SSFA_C	Docosapentaenoic-6 acid (micromol/L);2003-2004
SSDP3_N_SSFA_C	Docosapentaenoic-3 acid (micromol/L);2003-2004
SSDHA_N_SSFA_C	Docosahexaenoic acid (micromol/L);2003-2004
LBXCAP_FAS_G	Capric acid (C10:0) (umol/L);2011-2012
LBXLAR_FAS_G	Lauric acid (C12:0) (umol/L);2011-2012
LBXMR1_FAS_G	Myristic acid (14:0) (umol/L);2011-2012
LBXPEN_FAS_G	Pentadecanoic acid (C15:0) (ï¿½mol/L);2011-2012
LBXPM1_FAS_G	Palmitic acid (16:0) (umol/L);2011-2012
LBXMRG_FAS_G	Margaric acid (C17:0) (umol/L);2011-2012
LBXST1_FAS_G	Stearic acid (18:0) (umol/L);2011-2012
LBXAR1_FAS_G	Arachidic acid (20:0) (umol/L);2011-2012
LBXDA1_FAS_G	Docosanoic acid (22:0) (umol/L);2011-2012
LBXTSA_FAS_G	Tricosanoic acid (C23:0) (umol/L);2011-2012
LBXLG1_FAS_G	Lignoceric acid (24:0) (umol/L);2011-2012
LBXML1_FAS_G	Myristoleic acid (14:1n-5) (umol/L);2011-2012
LBXPL1_FAS_G	Palmitoleic acid (16:1n-7) (umol/L);2011-2012
LBXVC1_FAS_G	cis-Vaccenic acid (18:1n-7) (umol/L);2011-2012
LBXOL1_FAS_G	Oleic acid (18:1n-9) (umol/L);2011-2012
LBXEN1_FAS_G	Eicosenoic acid (20:1n-9) (umol/L);2011-2012
LBXNR1_FAS_G	Nervonic acid (24:1n-9) (umol/L);2011-2012
LBXLNA_FAS_G	Linoleic acid (18:2n-6) (umol/L);2011-2012
LBXALN_FAS_G	alpha-Linolenic acid (18:3n-3) (umol/L);2011-2012
LBXGLA_FAS_G	gamma-Linolenic acid (18:3n-6) (umol/L);2011-2012
LBXSD1_FAS_G	Stearidonic acid (C18:4n-3) (umol/L);2011-2012
LBXED1_FAS_G	Eicosadienoic acid (20:2n-6) (umol/L);2011-2012
LBXHGL_FAS_G	homo-gamma-Linolenic acid (20:3n-6) (umol/L);2011-2012
LBXET1_FAS_G	Eicosatrienoic acid (C20:3n-9) (umol/L);2011-2012
LBXARA_FAS_G	Arachidonic acid (20:4n-6) (umol/L);2011-2012
LBXEPA_FAS_G	Eicosapentaenoic acid (20:5n-3) (umol/L);2011-2012
LBXDTA_FAS_G	Docosatetraenoic acid (22:4n-6) (umol/L);2011-2012
LBXDP3_FAS_G	Docosapentaenoic acid (22:5n-3) (umol/L);2011-2012
LBXDP6_FAS_G	Docosapentaenoic acid (22:5n-6) (umol/L);2011-2012
LBXDHA_FAS_G	Docosahexaenoic acid (22:6n-3) (umol/L);2011-2012
SSDPHP_SSFLRT_H	Diphenyl phosphate (ug/L);2013-2014
SSBDCPP_SSFLRT_H	Bis(1,3-dichloro-2-propyl) phosphate (ug/L);2013-2014
SSBCPP_SSFLRT_H	Bis(1-chloro-2-propyl) phosphate (ug/L);2013-2014
SSBCEP_SSFLRT_H	Bis(2-chloroethyl) phosphate (ug/L);2013-2014
SSDPCP_SSFLRT_H	Di-p-cresyl phosphate (ug/L);2013-2014
SSDBUP_SSFLRT_H	Dibutyl phosphate (ug/L);2013-2014
SSTBBA_SSFLRT_H	2,3,4,5-tetrabromobenzoic acid (ug/L);2013-2014
SSDPHP_SSFR_G	Diphenyl phosphate (ug/L);2011-2012
SSBDCPP_SSFR_G	Bis(1,3-dichloro-2-propyl) phos (ug/L);2011-2012
SSBCPP_SSFR_G	Bis(1-chloro-2-propyl) phosphate (ug/L);2011-2012
SSBCEP_SSFR_G	Bis(2-chloroethyl) phosphate (ug/L);2011-2012
SSDCP_SSFR_G	Di-cresyl phosphates (ug/L);2011-2012
SSDBUP_SSFR_G	Dibutyl phosphate (ug/L);2011-2012
SSDBZP_SSFR_G	Dibenzyl phosphate (ug/L);2011-2012
SSTBBA_SSFR_G	2,3,4,5-tetrabromobenzoic acid (ug/L);2011-2012
LBDFOL_FOLATE_E	Serum folate (ng/mL);2007-2008
LBDFOL_FOLATE_F	Serum folate (ng/mL);2009-2010
LBXSF1SI_FOLFMS_E	5-Methyl-tetrahydrofolate (nmol/L);2007-2008
LBDFOT_FOLFMS_H	Serum total folate (ng/mL);2013-2014
LBXSF1SI_FOLFMS_H	5-Methyl-tetrahydrofolate (nmol/L);2013-2014
LBXSF3SI_FOLFMS_H	5-Formyl-tetrahydrofolate (nmol/L);2013-2014
LBXSF4SI_FOLFMS_H	Tetrahydrofolate (nmol/L);2013-2014
LBXSF5SI_FOLFMS_H	5,10-Methenyl-tetrahydrofolate (nmol/L);2013-2014
LBXSF6SI_FOLFMS_H	Mefox oxidation product (nmol/L);2013-2014
LBDFOT_FOLFMS_G	Serum total folate (ng/mL);2011-2012
LBXSF1SI_FOLFMS_G	5-Methyl-tetrahydrofolate (nmol/L);2011-2012
LBXSF3SI_FOLFMS_G	5-Formyl-tetrahydrofolate (nmol/L);2011-2012
LBXSF4SI_FOLFMS_G	Tetrahydrofolate (nmol/L);2011-2012
LBXSF5SI_FOLFMS_G	5,10-Methenyl-tetrahydrofolate (nmol/L);2011-2012
LBXSF6SI_FOLFMS_G	Mefox oxidation product (nmol/L);2011-2012
LBDFOT_FOLFMS_I	Serum total folate (ng/mL);2015-2016
LBXSF1SI_FOLFMS_I	5-Methyl-tetrahydrofolate (nmol/L);2015-2016
LBXSF3SI_FOLFMS_I	5-Formyl-tetrahydrofolate (nmol/L);2015-2016
LBXSF4SI_FOLFMS_I	Tetrahydrofolate (nmol/L);2015-2016
LBXSF5SI_FOLFMS_I	5,10-Methenyl-tetrahydrofolate (nmol/L);2015-2016
LBXSF6SI_FOLFMS_I	Mefox oxidation product (nmol/L);2015-2016
LBDFOT_FOLFMS_J	Serum total folate (ng/mL);2017-2018
LBXSF1SI_FOLFMS_J	5-Methyl-tetrahydrofolate (nmol/L);2017-2018
LBXSF3SI_FOLFMS_J	5-Formyl-tetrahydrofolate (nmol/L);2017-2018
LBXSF4SI_FOLFMS_J	Tetrahydrofolate (nmol/L);2017-2018
LBXSF5SI_FOLFMS_J	5,10-Methenyl-tetrahydrofolate (nmol/L);2017-2018
LBXSF6SI_FOLFMS_J	Mefox oxidation product (nmol/L);2017-2018
SSMET_SSFOL_A	Methyltetrahydrofolate ng/ml;1999-2000
SSFOLTOT_SSFOL_A	Total Folate ng/ml;1999-2000
LBXFOR_FORMAL_I	Formaldehyde (nmol/g HB);2015-2016
LBXFOR_FORMAL_H	Formaldehyde (nmol/g HB);2013-2014
LBXFOR_FORMAS_H	Formaldehyde (nmol/g HB);2013-2014
LB2GLU_L10_2_B	Plasma glucose (mg/dL);2001-2002
URXAAC_HCAA_H	2-Amino-9H-pyrido[2,3-b]indole (A-a-C) (pg/mL);2013-2014
URXGLP1_HCAA_H	2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole (Glu-P-1) (pg/mL);2013-2014
URXGLP2_HCAA_H	2-Aminodipyrido[1,2-a:3',2'-d] imidazole (GLU-P-2) (pg/mL);2013-2014
URXHM_HCAA_H	Harman (pg/mL);2013-2014
URXIQ_HCAA_H	2-amino-3-methyl-3H-imidazo[4,5-f]quinolone (IQ) (pg/mL);2013-2014
URXMAAC_HCAA_H	2-Amino-3-methyl-9H-pyriodo[2,3-b]indole (MeA-a-C) (pg/mL);2013-2014
URXNHM_HCAA_H	Norharman (pg/mL);2013-2014
URXPHIP_HCAA_H	2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhlP) (pg/mL);2013-2014
URXTRP1_HCAA_H	3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole (Trp-P-1) (pg/mL);2013-2014
URXTRP2_HCAA_H	1-Methyl-3-amino-5H-pyrido[4,3-b]indole (Trp-P-2) (pg/mL);2013-2014
URXAAC_HCAAS_H	2-Amino-9H-pyrido[2,3-b]indole (A-a-C) (pg/mL);2013-2014
URXGLP1_HCAAS_H	2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole (Glu-P1) (pg/mL);2013-2014
URXGLP2_HCAAS_H	2-Aminodipyrido[1,2-a:3',2'-d] imidazole (GLU-P2) (pg/mL);2013-2014
URXHM_HCAAS_H	Harman (pg/mL);2013-2014
URXIQ_HCAAS_H	2-amino-3-methyl-3H-imidazo[4,5-f]quinolone (IQ) (pg/mL);2013-2014
URXMAAC_HCAAS_H	2-Amino-3-methyl-9H-pyriodo[2,3-b]indole (MeA-a-C) (pg/mL);2013-2014
URXNHM_HCAAS_H	Norharman (pg/mL);2013-2014
URXPHIP_HCAAS_H	2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP) (pg/mL);2013-2014
URXTRP1_HCAAS_H	3-Amino-1,4-dimethyl-5H-pyrido[4,3-b]indole (Trp-P-1) (pg/mL);2013-2014
URXTRP2_HCAAS_H	1-Methyl-3-amino-5H-pyrido[4,3-b]indole (Trp-P-2) (pg/mL);2013-2014
SSIMID_SSNEON_I	Imidacloprid (ug/L);2015-2016
SSACET_SSNEON_I	Acetamiprid (ug/L);2015-2016
SSCLOT_SSNEON_I	Clothianidin (ug/L);2015-2016
SSTHIA_SSNEON_I	Thiacloprid (ug/L);2015-2016
SSOHIM_SSNEON_I	5-Hydroxyimidacloprid (ug/L);2015-2016
SSAND_SSNEON_I	N-Desmethylacetamiprid (ug/L);2015-2016
URXUIO_UIO_E	Iodine, urine (ug/L);2007-2008
URXUCR_UIO_E	Creatinine, urine (mg/dL);2007-2008
